Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan
Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie
Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs
Paratha with curd,Baked fish with quinoa,Turkey chili,Granola bars,Paratha with curd; Baked fish with quinoa; Turkey chili; Granola bars
Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie
Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie
Fruit and chia seeds,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Fruit and chia seeds; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks
Protein shake with banana,Baked fish with quinoa,Turkey chili,Granola bars,Protein shake with banana; Baked fish with quinoa; Turkey chili; Granola bars
Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter
Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie
Paratha with curd,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; Turkey chili; Nut mix with raisins
Upma with vegetables,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits
Oats with almond milk,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks
Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Upma with vegetables,Lentil curry with rice,Vegetable biryani,Boiled eggs,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Boiled eggs
Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars
Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Paratha with curd,Rajma chawal with salad,High-protein pasta,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; High-protein pasta; Nut mix with raisins
Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs
Protein shake with banana,Chicken curry with brown rice,Turkey chili,Granola bars,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Granola bars
Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter
Paratha with curd,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; Turkey chili; Banana and peanut butter
Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Boiled eggs
Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Light tofu stir-fry,Cucumber sticks,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Light tofu stir-fry; Cucumber sticks
Oats with almond milk,Zucchini noodles with tomato sauce,Light tofu stir-fry,Roasted seeds,Oats with almond milk; Zucchini noodles with tomato sauce; Light tofu stir-fry; Roasted seeds
Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie
Egg sandwich,Baked fish with quinoa,High-protein pasta,Granola bars,Egg sandwich; Baked fish with quinoa; High-protein pasta; Granola bars
Egg sandwich,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; Turkey chili; Nut mix with raisins
Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits
Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits
Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars
Protein shake with banana,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; Turkey chili; Banana and peanut butter
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits
Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Boiled eggs
Paratha with curd,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled eggs,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled eggs
Protein shake with banana,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Nut mix with raisins
Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Apple slices with peanut butter,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Apple slices with peanut butter
Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits
Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter
Upma with vegetables,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits
Oats with almond milk,Zucchini noodles with tomato sauce,Quinoa salad with steamed veggies,Roasted seeds,Oats with almond milk; Zucchini noodles with tomato sauce; Quinoa salad with steamed veggies; Roasted seeds
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter
Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Protein shake with banana,Chicken curry with brown rice,Turkey chili,Granola bars,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Granola bars
Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie
Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Fruit smoothie
Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter
Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie
Fruit and chia seeds,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Fruit and chia seeds; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds
Paratha with curd,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter
Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs
Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled eggs
Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie
Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie
Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars
Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins
Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars
Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars
Paratha with curd,Chicken curry with brown rice,High-protein pasta,Granola bars,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Granola bars
Multigrain toast with egg,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Grilled chicken with salad; Boiled eggs
Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie
Oats with banana and nuts,Chicken salad with whole grain bread,Grilled chicken with salad,Boiled eggs,Oats with banana and nuts; Chicken salad with whole grain bread; Grilled chicken with salad; Boiled eggs
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits
Fruit and chia seeds,Grilled vegetables with lentils,Light tofu stir-fry,Apple slices with peanut butter,Fruit and chia seeds; Grilled vegetables with lentils; Light tofu stir-fry; Apple slices with peanut butter
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits
Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars
Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars
Paratha with curd,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; High-protein pasta; Nut mix with raisins
