Dietary Preference,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan,Budget Preferences
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Fruit and chia seeds,Brown rice with spinach curry,Light tofu stir-fry,Cucumber sticks,Fruit and chia seeds; Brown rice with spinach curry; Light tofu stir-fry; Cucumber sticks,low
veg,Paratha with curd,Rajma chawal with salad,tofu chili,Granola bars,Paratha with curd; Rajma chawal with salad; tofu chili; Granola bars,low
vegan,Upma with vegetables,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
veg,Multigrain toast with tofu,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with tofu; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Protein shake with banana,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Turkey chili; Nut mix with raisins,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins,low
veg,tofu sandwich,Rajma chawal with salad,High-protein pasta,Nut mix with raisins,tofu sandwich; Rajma chawal with salad; High-protein pasta; Nut mix with raisins,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs,low
vegan,Egg sandwich,Chicken curry with brown rice,Turkey chili,Banana and peanut butter,Egg sandwich; Chicken curry with brown rice; Turkey chili; Banana and peanut butter,low
non-veg,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Egg sandwich,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
vegan,Protein shake with banana,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Turkey chili; Nut mix with raisins,low
vegan,Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Granola bars,Paratha with curd; Baked fish with quinoa; Turkey chili; Granola bars,high
vegan,Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Fruit and chia seeds,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Fruit and chia seeds; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks,high
vegan,Protein shake with banana,Baked fish with quinoa,Turkey chili,Granola bars,Protein shake with banana; Baked fish with quinoa; Turkey chili; Granola bars,high
vegan,Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Paratha with curd; Baked fish with quinoa; Turkey chili; Nut mix with raisins,high
vegan,Upma with vegetables,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
non-veg,Oats with almond milk,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Oats with almond milk; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks,low
veg,Protein shake with banana,Baked tofu with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; High-protein pasta; Banana and peanut butter,low
vegan,Upma with vegetables,Lentil curry with rice,Vegetable biryani,Boiled eggs,Upma with vegetables; Lentil curry with rice; Vegetable biryani; Boiled eggs,low
veg,Protein shake with banana,Baked tofu with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; High-protein pasta; Banana and peanut butter,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,low
non-veg,Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars,high
non-veg,Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter,low
vegan,Paratha with curd,Rajma chawal with salad,High-protein pasta,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; High-protein pasta; Nut mix with raisins,low
veg,Upma with vegetables,Paneer wrap with veggies,Grilled paneer with salad,Boiled tofu,Upma with vegetables; Paneer wrap with veggies; Grilled paneer with salad; Boiled tofu,low
non-veg,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Granola bars,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Granola bars,low
non-veg,Paratha with curd,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Paratha with curd,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
vegan,Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Boiled tofu,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Boiled tofu,low
vegan,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Light tofu stir-fry,Cucumber sticks,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Light tofu stir-fry; Cucumber sticks,low
vegan,Oats with almond milk,Zucchini noodles with tomato sauce,Light tofu stir-fry,Roasted seeds,Oats with almond milk; Zucchini noodles with tomato sauce; Light tofu stir-fry; Roasted seeds,low
veg,Multigrain toast with tofu,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with tofu; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Granola bars,Egg sandwich; Baked fish with quinoa; High-protein pasta; Granola bars,high
non-veg,Egg sandwich,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; Turkey chili; Nut mix with raisins,high
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
veg,Multigrain toast with tofu,paneer salad with whole grain bread,Vegetable biryani,Boiled tofu,Multigrain toast with tofu; paneer salad with whole grain bread; Vegetable biryani; Boiled tofu,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
vegan,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Protein shake with banana,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Boiled eggs,high
veg,Paratha with curd,Baked tofu with quinoa,High-protein pasta,Banana and peanut butter,Paratha with curd; Baked tofu with quinoa; High-protein pasta; Banana and peanut butter,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled tofu,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled tofu,low
veg,Protein shake with banana,paneer curry with brown rice,tofu chili,Nut mix with raisins,Protein shake with banana; paneer curry with brown rice; tofu chili; Nut mix with raisins,low
non-veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Apple slices with peanut butter,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Apple slices with peanut butter,low
veg,Multigrain toast with tofu,Paneer wrap with veggies,Grilled paneer with salad,Nuts and dry fruits,Multigrain toast with tofu; Paneer wrap with veggies; Grilled paneer with salad; Nuts and dry fruits,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
vegan,Oats with almond milk,Zucchini noodles with tomato sauce,Quinoa salad with steamed veggies,Roasted seeds,Oats with almond milk; Zucchini noodles with tomato sauce; Quinoa salad with steamed veggies; Roasted seeds,high
veg,Protein shake with banana,Baked tofu with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Baked tofu with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs,low
vegan,Protein shake with banana,Chicken curry with brown rice,Turkey chili,Granola bars,Protein shake with banana; Chicken curry with brown rice; Turkey chili; Granola bars,low
non-veg,Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
non-veg,Egg sandwich,Baked fish with quinoa,Stuffed paneer chapati with salad,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,high
veg,Fruit and chia seeds,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Fruit and chia seeds; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds,low
non-veg,Paratha with curd,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs,low
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled tofu,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled tofu,low
vegan,Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
non-veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins,low
